Temperatura,Personas,Horas_AC,Horas_TV,Consumo
27.5,0,3,0,182
23.9,5,4,10,394
24.0,3,0,4,279
25.1,5,11,6,285
26.7,5,11,5,316
24.5,5,3,9,324
13.3,7,8,8,255
22.6,4,0,3,152
20.8,3,2,2,156
24.0,3,5,5,266
20.5,5,2,5,242
20.0,3,0,9,261
20.2,3,1,3,154
20.3,4,2,3,146
34.7,5,7,0,277
26.4,7,5,2,206
19.3,4,2,5,208
26.0,3,11,5,323
26.8,0,3,0,118
16.9,1,0,2,120
26.3,5,6,4,320
19.4,4,2,2,151
28.4,0,0,5,277
26.0,5,11,5,254
15.5,2,1,0,39
26.1,3,11,6,335
29.0,6,7,7,340
31.8,3,7,8,405
19.5,5,0,8,313
24.1,9,8,7,300
24.6,5,3,9,322
30.0,6,8,8,414
20.2,4,10,4,253
16.0,1,0,1,91
17.0,2,4,3,152
32.1,4,7,8,421
34.8,7,4,6,412
26.9,0,3,0,125
29.1,6,8,7,359
16.4,1,0,1,66
34.2,7,5,4,345
23.8,3,10,3,217
24.5,3,5,5,251
22.6,3,0,1,143
26.9,4,5,4,269
25.6,6,6,5,289
29.3,1,0,5,209
24.6,4,6,5,275
26.1,6,6,4,246
23.0,2,0,1,158
25.6,4,11,4,276
21.6,3,2,4,172
26.4,1,4,0,143
25.9,1,1,6,304
22.8,4,0,3,204
25.9,5,5,4,270
28.1,2,1,6,247
18.8,2,1,2,174
32.3,2,7,7,354
35.0,5,6,0,274
27.7,4,5,1,192
26.0,6,6,2,254
19.5,2,5,3,213
25.4,3,7,12,462
28.9,5,6,4,314
21.3,2,4,4,202
34.3,7,4,5,344
28.0,0,0,5,251
20.0,3,2,3,157
17.7,2,1,3,214
13.0,7,8,8,253
30.6,6,7,8,438
20.0,4,2,5,235
26.1,4,11,5,319
29.5,6,9,7,432
29.0,5,7,4,306
26.2,6,6,5,280
34.4,7,5,5,372
24.3,4,4,5,257
23.1,3,0,1,150
25.9,5,3,9,393
27.6,0,3,0,117
25.0,4,3,10,415
31.5,4,7,8,395
26.3,6,6,6,337
27.1,4,6,4,290
24.9,9,8,8,398
27.5,2,1,7,303
23.4,3,1,0,104
29.0,5,8,4,294
26.6,3,5,1,235
28.9,5,7,5,293
27.2,4,5,1,176
23.1,2,10,3,202
26.6,5,5,4,272
27.0,4,5,4,219
19.0,3,2,4,141
28.3,5,7,5,307
34.1,8,5,5,327
26.7,3,6,3,202
27.1,1,3,0,106
28.0,5,7,6,309
26.5,0,2,0,152
23.6,4,3,2,212
17.2,5,3,2,199
22.7,3,0,1,189
26.8,5,5,7,363
21.7,2,3,4,234
23.4,5,5,5,271
20.1,5,1,9,329
27.2,0,3,0,200
13.3,7,9,8,302
17.3,3,4,4,215
17.3,3,4,4,151
25.2,5,7,12,432
23.7,9,8,7,364
23.7,9,7,7,354
26.4,5,7,6,304
25.1,6,0,6,357
25.4,6,0,5,268
19.1,3,11,3,193
16.7,5,3,1,118
26.0,5,7,11,436
27.3,0,2,0,142
35.0,5,7,0,202
27.4,0,3,1,205
31.1,6,8,8,458
27.0,5,5,4,317
27.2,5,7,7,362
28.4,4,6,4,302
19.2,4,0,8,246
34.6,5,8,0,278
25.0,4,8,12,458
24.1,1,10,4,236
15.2,1,1,1,94
28.1,5,6,3,290
19.6,5,1,5,219
25.5,6,3,9,385
24.5,2,10,4,228
19.9,2,5,3,214
29.0,4,7,4,263
27.4,0,3,0,120
17.5,5,3,2,144
25.8,4,11,6,367
27.2,7,5,1,250
27.3,0,3,0,141
23.5,4,5,5,285
26.8,5,5,5,241
27.0,4,5,1,174
19.0,2,4,4,165
23.5,4,5,4,277
26.6,3,1,6,302
23.9,4,3,10,376
26.0,4,11,5,320
18.3,2,4,4,230
26.5,7,5,2,228
21.5,4,2,3,144
25.7,6,0,4,275
19.8,3,2,4,194
29.0,0,0,5,284
19.9,5,0,9,306
27.9,3,1,5,243
27.3,0,3,0,154
29.6,6,8,7,382
23.2,3,0,3,187
23.9,1,10,4,299
29.2,0,0,5,222
28.8,4,7,3,275
26.3,4,5,1,166
25.4,5,3,10,308
13.0,4,7,9,282
21.9,3,4,3,193
26.8,5,6,4,294
23.3,2,0,0,101
18.8,2,1,3,101
26.6,6,6,5,277
34.3,6,5,5,397
22.7,4,3,3,173
13.0,7,8,8,332
26.8,7,5,2,268
22.8,5,0,3,181
34.8,5,7,1,250
19.8,3,10,3,239
19.8,3,2,3,158
26.5,3,10,5,257
26.5,7,4,2,246
16.6,3,4,3,164
26.2,3,5,1,219
17.7,3,4,3,171
16.6,2,4,2,105
16.3,1,0,0,86
23.2,4,0,3,230
20.7,4,1,4,204
26.9,1,4,0,151
25.5,6,6,6,277
29.2,6,8,8,383
21.6,4,0,2,176
28.1,5,7,7,342
16.4,1,1,1,32
26.2,4,11,5,420
24.2,4,8,11,376
29.5,5,6,5,388
26.7,2,0,7,285
33.5,7,5,5,354
13.0,3,8,9,262
25.0,4,7,12,469
25.3,5,5,4,214
20.0,4,0,8,222
26.2,5,7,4,325
35.0,5,7,0,226
29.1,0,0,5,278
19.3,4,2,5,181
29.1,0,0,5,277
26.5,7,5,2,285
28.4,6,8,7,356
13.0,8,8,8,230
17.0,2,2,2,167
17.7,1,1,2,138
20.6,3,11,3,203
27.1,3,10,5,302
26.7,4,6,0,142
27.5,2,1,7,350
17.8,2,0,1,72
33.2,7,4,6,328
23.4,3,0,2,167
30.1,6,8,8,382
17.9,2,4,2,101
23.2,2,9,5,254
25.4,4,4,5,274
13.8,7,8,7,224
29.0,0,0,5,297
33.9,8,5,5,386
19.6,4,3,5,210
17.1,2,5,4,150
23.9,2,11,4,257
23.3,4,3,2,208
34.9,5,7,0,273
30.7,6,8,8,446
25.1,4,7,11,408
29.9,6,8,8,317
13.5,7,7,8,321
33.2,6,5,6,366
29.2,0,0,5,276
29.0,0,0,5,306
16.3,5,4,2,213
22.1,4,0,4,182
27.5,4,6,4,278
27.5,1,4,0,196
25.1,4,7,12,420
20.9,4,1,4,180
27.2,7,5,1,198
19.6,2,1,2,129
30.2,6,7,9,421
26.9,4,7,4,257
19.5,3,10,3,175
18.7,2,6,4,220
18.9,2,1,2,166
26.7,5,5,4,315
26.4,4,11,5,300
18.2,2,0,2,140
30.4,6,8,8,418
28.3,4,8,7,342
34.1,7,5,5,383
24.3,4,3,11,377
34.6,7,5,4,330
19.8,3,1,3,118
35.0,5,6,0,231
26.6,4,11,5,324
24.7,5,0,5,300
23.5,3,0,1,127
24.8,5,3,10,351
13.0,7,8,8,330
29.1,6,7,3,265
27.1,0,3,0,86
27.0,0,4,0,148
19.3,4,2,5,204
13.0,7,8,8,354
25.1,4,4,5,283
16.6,2,2,3,131
27.4,1,3,0,120
27.5,2,1,5,270
18.3,2,2,2,170
23.8,2,10,3,241
13.0,4,7,9,258
13.9,6,8,9,324
19.6,2,5,4,195
20.6,3,3,3,191
29.1,6,7,4,293
27.7,7,5,3,254
20.0,4,0,8,266
29.7,0,0,5,289
25.9,5,6,6,303
23.7,2,10,4,239
29.9,0,0,5,232
19.0,2,1,3,162
28.6,0,0,5,261
19.5,3,9,4,208
21.5,4,3,3,168
28.4,5,6,7,414
